NOMBRE_CLIENTE,DESCR
PÚBLICO EN GENERAL,"TUB COBRE 5/16""ØX165MM CIRCULA1.5KW127V"
PÚBLICO EN GENERAL,BAN P INOX 115MMX235MM 1000W 127V T/TOR
PÚBLICO EN GENERAL,BAN P INOX 55MMX235MM 450W 127V T/TOR
PÚBLICO EN GENERAL,BOB 8020 CAL.19 1612W 127V CER-8CANALES
PÚBLICO EN GENERAL,BAN P COMUN 100CMX21MM 900W220V T/TOR
PÚBLICO EN GENERAL,"TUBULAR  J"" 5/16"" 230MM 4500W 220V"""
PÚBLICO EN GENERAL,"TUB INOX 5/16""Øx120MTS LONG. 1000W 120V."
PÚBLICO EN GENERAL,"CAS INOX 1/4""ØX1 1/4"" 100W 127V EXT.30CM"
PÚBLICO EN GENERAL,"TUB INOX 7/16""ØX280MM ""U"" 9000W260V PLAC"
PÚBLICO EN GENERAL,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 1 MT
PÚBLICO EN GENERAL,"TUB COBRE 5/16""ØX225MM 2400W115V TAP"
PÚBLICO EN GENERAL,"TUB INOX 5/16""ØX20CM 2000W 220V ""J"" TAP"
PÚBLICO EN GENERAL,"TUB INOX 1/4""Øx185MM 900W 120V ""M"" T-90°"
PÚBLICO EN GENERAL,"TERMOPAR CERAMICO T/K"" LONG 24"" CAL 8"""
PÚBLICO EN GENERAL,"TERMOPAR K 3/16Ø X 1'  1/2 EXT. 3 MT"""
PÚBLICO EN GENERAL,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 4 MT
PÚBLICO EN GENERAL,REPARACION DE HORNO 780W 120V MAR-VULCAN
PÚBLICO EN GENERAL,"TUB INOX 5/16""ØX203MM 1500W 240V U TAP1"""
PÚBLICO EN GENERAL,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 1 MT
PÚBLICO EN GENERAL,REPARACION SELLADORA PCS300
PÚBLICO EN GENERAL,"CAS INOX 1/2""X5"" 250W 240V EXT30CM"
PÚBLICO EN GENERAL,TERMOPAR J 3/16 Ø X1'  1/2 EXT.  8 MT
PÚBLICO EN GENERAL,TERMOPAR J 3/16 Ø X 1' 1/2 EXT.  5 MT
PÚBLICO EN GENERAL,BOB 8020 CAL.16 19MMØX1170MM 5300W 240V
PÚBLICO EN GENERAL,"TUB INOX 5/16""ØX437MM 1000W127V ""M"" ESPE"
PÚBLICO EN GENERAL,BAN M/LUNA 208MMØX143MM 600W110V T/TOR
PÚBLICO EN GENERAL,REPARACION DE TUBO DE CUARZO 500W127V
PÚBLICO EN GENERAL,TERMOPAR J 3/16 Ø X 1' 1/2 EXT.  5 MT
PÚBLICO EN GENERAL,"TUB INOX 5/16""ØX27CM 2100W230V ""L"" PLACA"
PÚBLICO EN GENERAL,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 1 MT
PÚBLICO EN GENERAL,"TUB INOX7 /16x115CMS CLIP15KW220V PLACA"""
PÚBLICO EN GENERAL,"CAS INOX 3/8""ØX1 1/2"" 80W 127V EXT.30CM"
PÚBLICO EN GENERAL,"TERMOPAR K 3/16Ø  X 1'  1/2 EXT. 2 MT"""
PÚBLICO EN GENERAL,REPARACIÓN DE SELLADORA 30CM 146W 120V
PÚBLICO EN GENERAL,REAPARACION DE HORNO 1800W 120V
PÚBLICO EN GENERAL,"TEA J 3/16""ØX12"" CONEC-5/16""ØX1"" EXT1MT"
PÚBLICO EN GENERAL,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 3 MT
PÚBLICO EN GENERAL,"TUB COBRE 5/16""Øx250mm CLIP 2600W 110VTA"
PÚBLICO EN GENERAL,"TUBULAR  J"" 5/16"" 230MM 4500W 220V"""
PÚBLICO EN GENERAL,"CAS INOX 3/8""ØX8 1/2"" 500W 110V EXT.40CM"
PÚBLICO EN GENERAL,"TERMOPAR K 3/16Ø X 1'  1/2 EXT. 1 MT"""
PÚBLICO EN GENERAL,BAN A/COMUN 117MMØX100MM 1250W240V C/STD
PÚBLICO EN GENERAL,"TUB INOX 5/16""ØX800MM 2000W127V ""J"" TBOY"
PÚBLICO EN GENERAL,"CAS INOX 3/8""ØX1 1/2"" 80W 127V EXT.30CM"
PÚBLICO EN GENERAL,"TUB INOX 7/16""ØX690MM 1000W 127V ""U"" BUS"
PÚBLICO EN GENERAL,"TERMOPAR CERAMICO T/ K"" LONG 12"" CAL.14"""
PÚBLICO EN GENERAL,"TUB INOX 5/16""ØX325MM 1700W 240V ""M"" BUS"
PÚBLICO EN GENERAL,"TUBU"" 5/16""Øx280mm 600W 127V C/PLACA"""
PÚBLICO EN GENERAL,BAN M/LUNA 100MMØX41MM 200W240V C/STD
PÚBLICO EN GENERAL,BAN M/LUNA 270MMX42MM 900W 240V C/STD
PÚBLICO EN GENERAL,BAN P COMUN 62MMX140MMX200M 900W240V ORI
PÚBLICO EN GENERAL,BAN P COMUN 62MMX140MMX200M 900W240V STD
PÚBLICO EN GENERAL,"TERMOPAR CERAMICO T/ K"" LONG 12"" CAL.14"""
PÚBLICO EN GENERAL,BS/BLINDAJE 168MMXLADO 700W127V F/OCTAGO
PÚBLICO EN GENERAL,"PT-100 1/4""ØX215MM EXT1.5MT CON7/16""FINO"
PÚBLICO EN GENERAL,"TUB INOX 3/8""ØX210MM 1500W 240V CIRC/90°"
PÚBLICO EN GENERAL,"TERMOPAR CERAMICO T/ K"" LONG 12"" CAL.14"""
PÚBLICO EN GENERAL,"TER J ESCUADRA 3/16""ØX25CMX5CM EXT 1.5MT"
PÚBLICO EN GENERAL,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 3 MT
PÚBLICO EN GENERAL,"BOQUILLA 11/2X1""1/2"" 300W 240V"""
PÚBLICO EN GENERAL,"TUB INOX7 /16x115CMS CLIP15KW220V PLACA"""
PÚBLICO EN GENERAL,"TUB INOX 5/16""ØX25CM 3000W240V ""U""T/PUMA"
PÚBLICO EN GENERAL,"TUB INOX 5/16""ØX315MM 3KW240V 3 ELIPSES"
PÚBLICO EN GENERAL,"CAS INOX 1/2""ØX8"" 500W 127V EXT30CM"
PÚBLICO EN GENERAL,"TUS INOX 5/16""ØX30CM 1000W 127V ""U"""
PÚBLICO EN GENERAL,BOB 8020 CAL.19 1612W 127V CER-10CANALES
PÚBLICO EN GENERAL,BOB 8020 CAL.19 1612W 127V CER-8CANALES
PÚBLICO EN GENERAL,REPARACION MARCADORA DE LLANTAS
PÚBLICO EN GENERAL,REPARACION DE SELLADORA DE 30CM
PÚBLICO EN GENERAL,"TUB INOX 1/2""ØX500MM 9000W 240V C/PLACA"
PÚBLICO EN GENERAL,"TUB INOX 1/2""ØX495MM 3000W220V U PLA/ACO"
PÚBLICO EN GENERAL,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 3 MT
PÚBLICO EN GENERAL,FAB RESISTENCIA DSD CAL.12 X40CMX10CM
PÚBLICO EN GENERAL,"CAS INOX 5/8""ØX6"" 500W 240V EXT30CM"
PÚBLICO EN GENERAL,BAN P COMUN 24MMØX108CM 1750W220V T/TORN
PÚBLICO EN GENERAL,"BOQUILLA 2X2""  350W 240V"""
PÚBLICO EN GENERAL,"TER J 3/16""ØX2"" EXT50CM ZAP/PIN"
PÚBLICO EN GENERAL,FAB RESISTENCIA DSD CAL.12 X40CMX10CM
PÚBLICO EN GENERAL,TERMOPAR J3/16 Ø X 1' 1/2 EXT.  1.5 MT
PÚBLICO EN GENERAL,"TUB INOX 1/4""ØX80CM 800W127V RECTA T/ZAP"
PÚBLICO EN GENERAL,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 1 MT
PÚBLICO EN GENERAL,"CAS INOX 1/2""ØX8"" 500W 127V EXT30CM"
PÚBLICO EN GENERAL,"TUB INOX 1/4""ØX65MM 180W 127V CIRCU/BASE"
PÚBLICO EN GENERAL,"TUB INOX 5/16""ØX27CM 1000W 240V ESPECIAL"
PÚBLICO EN GENERAL,"TUB INOX. 5/16"" Øx2085mm ESP 1900W 230V"
PÚBLICO EN GENERAL,"TUB INOX 5/16""ØX800MM 2000W127V ""J"" TBOY"
PÚBLICO EN GENERAL,BB INOX 38MMØX76MM 300W 120V C/TJ
PÚBLICO EN GENERAL,"TUB INOX 5/16""Øx695mm ESP 650W 120V"
PÚBLICO EN GENERAL,"TERMOPAR CERAMICO T/ K"" LONG 12"" CAL.14"""
PÚBLICO EN GENERAL,"TUB INOX 5/16""Øx930mm 1000W 127V CAPUCHO"
PÚBLICO EN GENERAL,"TUB INOX 5/16""ØX800MM 2000W127V ""J"" TBOY"
PÚBLICO EN GENERAL,"CAS INOX 1/4""ØX2"" 175W240V EXT30CM C/TJ"
PÚBLICO EN GENERAL,"TERMOPAR CERAMICO T/ K"" LONG 12"" CAL.14"""
PÚBLICO EN GENERAL,"TERMOPAR CERAMICO T/K"" LONG 24"" CAL 8"""
MOLINERA DE MEXICO,"PT-100 1/8""ØX30MM EXT 1.5MT 3HILOS Z/ESP"
MOLINERA DE MEXICO,CBS INOX 8MMØX265MM 500W 220V EXT.1MT
INDUSTRIAS NIBA,BC INOX 114MMØX165MM 1500W 230V C/ALLEN
